date,value1,value2,value3,value4,value5
2017-09-30,59002471483.990845,69073317386.46533,57141240857.79666,60997549587.825836,1346137957.120911
2017-10-01,61046287733.64351,63046976293.17346,57677720983.57237,60745807651.820404,1415113141.5648556
2017-10-02,60714164986.0249,62593064139.022385,58056518921.75839,60178585781.09897,1415113141.5648556
2017-10-03,60045985259.4305,61320821843.89758,56204677912.66436,58909095975.71356,1415113141.5648556
2017-10-04,58735126536.114685,61551043017.72107,55485266818.750595,57692101289.61661,1415113141.5648556
2017-10-05,57747501858.76851,61557632881.651245,55293394858.976974,59131741899.637314,1415113141.5648556
2017-10-06,59061788766.782104,62422447713.30469,57793692112.58252,60576434074.16832,1415113141.5648556
2017-10-07,60405094165.80432,63173728350.37416,58834719145.21295,61254591081.61014,1415113141.5648556
2017-10-08,61226884424.25789,65388661172.477936,57271097992.37814,61234828725.17987,920403562.4471037
2017-10-09,61215682552.483826,64815124410.75745,52020773798.808136,57611182644.5632,920403562.4471037
2017-10-10,57655761858.9583,63384000540.682144,54947590488.2829,59058065185.00867,920403562.4471037
2017-10-11,59075714190.5126,62460030502.41263,57470228038.11383,60292320664.90991,920403562.4471037
2017-10-12,61367283578.87732,68744621226.15395,54362546171.04738,60704813628.90025,920403562.4471037
2017-10-13,60717962458.15309,69658980361.42493,55005128434.49214,65311927784.66635,920403562.4471037
2017-10-14,65319345114.98303,69510910494.86035,61748489487.88757,65331104799.198074,920403562.4471037
2017-10-15,65373832054.03737,68943471776.84846,60383845754.59036,65469225815.700424,1866095258.631657
2017-10-16,65380666835.41661,72085735051.79018,62160270397.899506,65350018137.80919,1866095258.631657
2017-10-17,65194545262.75496,69915420913.35283,59575079870.5262,63441577223.06972,1866095258.631657
2017-10-18,63290804706.96385,65284289940.546616,55743115597.936325,61751866895.16766,1866095258.631657
2017-10-19,61783486947.656555,64436007279.09175,57476337295.596664,60526014293.27925,1866095258.631657
2017-10-20,60514140352.78407,65342389939.69284,55176439210.76071,59107250295.14397,1866095258.631657
2017-10-21,59077824234.27998,61785658341.78,54219827546.40816,58832682210.58423,1866095258.631657
2017-10-22,59180353167.874374,62214282228.87932,55109555416.46454,58026931381.5974,1513656769.3223495
2017-10-23,58214184871.37361,59494479192.54997,52583806825.2861,55805538101.21295,1513656769.3223495
2017-10-24,55810487405.7287,65187028012.821594,51594105058.25705,59323458510.85806,1513656769.3223495
2017-10-25,59307917477.75601,62169157129.75917,55302448688.5845,59186832550.52525,1513656769.3223495
2017-10-26,59193717372.53987,62476713806.38275,56212908907.9509,58740434381.011185,1513656769.3223495
2017-10-27,58779420234.44859,62051076686.496796,56046926945.9438,59206530704.21681,1513656769.3223495
2017-10-28,59200917222.9742,61708168222.69072,57013546010.20087,59260251515.51315,1513656769.3223495
2017-10-29,59440575480.37741,68607454411.24893,56282460875.31787,61497566612.19534,2155690725.9431515
2017-10-30,61491867559.558014,64677470262.52469,59591683145.82007,61608597294.74179,2155690725.9431515
2017-10-31,61891494566.68234,65621860032.43527,57519055568.06775,60814506142.29855,2155690725.9431515
2017-11-01,60845383744.01602,66288317442.92096,54355354037.779205,60160454239.04611,2155690725.9431515
2017-11-02,60196817687.6149,66771658691.91321,52160502440.78177,60532056322.69751,2155690725.9431515
2017-11-03,60674612435.418,70231037389.64511,58048066161.400024,65011458572.55249,2155690725.9431515
2017-11-04,64968324462.66907,68906659106.88303,59797971313.99478,63593751562.69501,2155690725.9431515
2017-11-05,64154799950.42314,66859917993.62013,60450293941.79965,63811353057.70688,1814347656.4900875
2017-11-06,63843113002.88214,69153730870.77383,59901593136.187225,64156840310.875015,1814347656.4900875
2017-11-07,64050644837.423935,67858649524.43884,61603069579.663086,64577153075.79033,1814347656.4900875
2017-11-08,64573387584.037796,77602189117.95663,60380195165.34187,68797120039.97797,1814347656.4900875
2017-11-09,68901802209.3494,76618842624.82764,65314357133.82953,71665479834.96187,1814347656.4900875
2017-11-10,71718463128.94484,82555403268.29585,63383966823.55246,73436600428.5916,1814347656.4900875
2017-11-11,73198209620.01964,90589643095.75165,67805767039.09146,82668040120.0187,1814347656.4900875
2017-11-12,82909967340.41595,113104936492.69272,68330147701.51941,83106993882.78198,12787365692.96199
2017-11-13,83236644733.48383,95648350281.28616,70192131072.21497,82982723962.3314,12787365692.96199
2017-11-14,83017616157.17589,89862647470.02972,78486799148.3937,84873969878.14719,12787365692.96199
